Original,Normalized
aadre,adre
aagalla,agalla
aagi,agi
aagide,agide
aagtilla,agtilla
aagutte,agutte
aamele,aamele
aaytu,aitu
adann,adanna
adanna,adanna
adikke,adikke
adralli,adralli
adru,adru
adunna,adunna
agalla,agalla
agbeku,agbeku
agboda,agboda
agii,agi
agilla,agilla
agolla,agolla
agtha,agtha
agthide,agthide
agtide,agthide
agtilla,agtilla
agutta,agutte
agutthe,agutte
aithu,aitu
akka,akka
akkaa,akka
alle,alle
alli,alli
allii,alli
alliii,alli
amma,amma
ammaa,amma
andru,andru
ann,anna
annaa,anna
annaaa,anna
annaaaa,anna
annaoo,anna
annaoooooooo,anna
annna,anna
annnaoooo,anna
anno,anna
annsutte,ansutte
ansthide,ansthide
ansutte,ansutte
antha,anta
anthu,anta
antidini,antidini
appa,appa
appaa,appa
awsm,awesome
awsome,awesome
aytu,aitu
aytuu,aitu
baaad,bad
baddu,bad
bage,bagge
bagee,bagge
baggenu,baggenu
baralla,baralla
baralva,baralva
barodilla,barodilla
barthide,barthide
barthilla,barthilla
baruta,baruta
barutha,barutha
barutta,barutta
barutte,barutte
baruttha,barutta
battary,battary
battry,battery
beasttt,beast
beda,beda
bedaa,beda
bedava,bedava
bejaruu,bejaru
bejaruuu,bejaru
bekagide,bekagide
bekagilla,bekagilla
bekagillaa,bekagilla
bekuu,beku
benkii,benki
benkiii,benki
benkkii,benki
besttt,best
bettar,bettar
bitte,bittu
bittu,bittu
broo,bro
brooo,bro
broooo,bro
brooooo,bro
cancellation,cancellation
chakku,chakku
chalenge,challenge
challange,challenge
chanagide,chennagide
channagi,chennagi
channagide,chennagide
chenag,chennagi
chenagi,chennagi
chenagide,chennagide
chenagittu,chennagittu
chennagi,chennagi
chennagide,chennagide
chennagidee,chennagide
chennagideee,chennagide
chennagittu,chennagittu
dabba,dabba
dabbaa,dabba
dalli,dalli
dayavittu,dayavittu
devareee,devare
dodda,dodda
doddu,doddu
dudd,duddu
duddu,duddu
dudduu,duddu
edde,ede
ede,ede
edini,edini
edralli,edralli
edru,edru
ellaa,ella
elladrallu,elladrallu
elli,elli
ellla,ella
elllasumne,ellasumne
enadru,enadru
enide,enide
eralla,iralla
erbeku,irbeku
eshto,eshtu
eshtuu,eshtu
fineee,fine
goodd,good
goood,good
gotagutte,gotagutte
gottagtilla,gottagtilla
gottilla,gottilla
guruu,guru
guruuu,guru
guruve,guruve
haaki,haki
hagutte,hagutte
hakki,haki
hanggg,hang
heavvvieeee,heavy
heavvy,heavy
heavyy,heavy
heeeeeeeeeeeeavy,heavy
heeli,heli
hegana,hegana
hegee,hege
hegide,hegide
helalla,helalla
helbeda,helbeda
helbeku,helbeku
helbekuu,helbeku
heli,heli
helida,helida
helidange,helidange
heliddu,heliddu
helidiya,helidiya
helidri,helidri
helidru,helidru
helidruu,heli
helidu,helidu
helii,heli
heliii,heli
helilla,helilla
helista,helista
helli,heli
heloda,heloda
helsod,helsod
helstare,helstare
heltane,heltane
helthare,helthare
helthira,helthira
heltira,heltira
heltiyalla,heltiyalla
heluvanu,heluvanu
hii,hi
hiiii,hi
hogide,hogide
honnavara,honnavara
hotte,hotte
idanna,idanna
idarabagge,idarabagge
idda,idda
iddare,iddare
idde,ide
iddini,iddini
iddira,iddira
idee,ide
idhe,ide
idini,idini
idru,idru
igaa,iga
illi,illi
illii,illi
illiii,illi
illlaashte,illaashte
illva,ilva
ilvaa,ilva
ilvaaaa,ilva
inna,inna
innondu,innondu
innuu,innu
inu,innu
iphne,iphone
iralla,iralla
irbeku,irbeku
irodu,irodu
irutta,irutta
irutte,irutte
ishta,ishta
ishtaaa,ishta
ishtillaa,ishtilla
ivagaa,ivaga
ivattu,ivattu
kami,kammi
kammi,kammi
kannadiga,kannadiga
kashtaaa,kashta
kashtade,kashtade
kettaddu,kettadu
kettadu,kettadu
kettaduu,kettadu
khushii,khushi
khushiii,khushi
kiiiiiiiiitogiro,kiitogiro
kodabeku,kodabeku
kodalvalla,kodalvalla
kodbedi,kodbedi
kodbekitta,kodbekitta
koddi,kodi
kodtara,kodtara
kodtare,kodtare
kodthare,kodthare
kodthilla,kodthilla
kodthira,kodthira
kodtini,kodtini
kodtira,kodtira
kodu,kodu
kottidare,kottidare
kottu,kottu
kotu,kottu
laggg,lag
loveee,love
lovelyyy,lovely
maadalla,madalla
maadbeku,madbeku
maadi,maadi
maadidri,madidri
